Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2026-03-24,18:49,CNR1507670,Success,CUST3161,eBike,Banaswadi,Marathahalli,8.8,7,0,,0,,0,,1229,19.73,4.9,3.6
2026-03-09,23:39,CNR1314746,Incomplete,CUST2023,Bike,Sarjapur,Frazer Town,,,0,,0,,1,Customer Demand,,,,
2026-03-16,11:05,CNR8160391,Success,CUST8966,Bike,Malleshwaram,Nagawara,12.22,18.17,0,,0,,0,,144,1.69,4.3,4.8
2026-03-30,07:00,CNR9501859,Success,CUST3668,Prime Sedan,Ramamurthy Nagar,Shivajinagar,13.42,8.35,0,,0,,0,,251,6.75,4.5,3.4
2026-03-17,13:30,CNR8088209,Success,CUST4443,Prime SUV,Bannerghatta Road,Banashankari,7.43,5.69,0,,0,,0,,384,10.04,4.8,3.8
2026-03-13,03:30,CNR3550001,Cancelled by Driver,CUST7492,Auto,Vijayanagar,Vijayanagar,,,0,,1,Customer related issue,0,,,,,
2026-03-25,20:58,CNR2330209,Success,CUST9187,Auto,Kadugodi,Nagawara,2.33,11.77,0,,0,,0,,266,9.87,3.2,4.7
2026-03-26,00:48,CNR5725057,Success,CUST6948,Prime Plus,Rajajinagar,Kalyan Nagar,12.37,5.6,0,,0,,0,,169,17.96,4.4,4.4
2026-03-06,08:57,CNR6962611,Incomplete,CUST5653,Auto,Ulsoor,Sarjapur,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-17,13:17,CNR1856435,Success,CUST8044,Bike,Vijayanagar,ITPL,10.77,14.17,0,,0,,0,,409,10.3,3.9,4.7
2026-03-20,13:33,CNR1008762,Success,CUST1680,Prime Sedan,Indiranagar,HSR Layout,14.15,7.32,0,,0,,0,,201,12.73,3.5,3.3
2026-03-19,04:57,CNR3309940,Success,CUST4481,Prime SUV,Hebbal,CV Raman Nagar,12.31,16.22,0,,0,,0,,242,15.93,4.8,4.4
2026-03-12,19:35,CNR5022454,Success,CUST7168,Mini,Ramamurthy Nagar,Devanahalli,6.85,22.87,0,,0,,0,,211,1.68,4.6,3.3
2026-03-15,14:21,CNR8303842,Success,CUST4836,Auto,Whitefield,Ulsoor,9.17,24.1,0,,0,,0,,225,12.28,3,4.9
2026-03-30,01:03,CNR4974427,Success,CUST9397,Prime SUV,Marathahalli,Kadugodi,14.63,10.55,0,,0,,0,,940,18.12,3.1,3
2026-03-26,09:38,CNR5120994,Cancelled by Driver,CUST8192,Prime Sedan,Ulsoor,Ulsoor,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-04,09:48,CNR2327376,Cancelled by Customer,CUST7903,Mini,Dasarahalli,Malleshwaram,,,1,Wrong Address,0,,0,,,,,
2026-03-15,12:58,CNR4970442,Success,CUST9363,Auto,Domlur,Rajajinagar,9.08,10.54,0,,0,,0,,381,19.37,4.1,4.1
2026-03-06,12:03,CNR8438309,Cancelled by Driver,CUST1894,eBike,Koramangala,Peenya,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-23,05:08,CNR5599728,Incomplete,CUST9896,Prime Plus,Kanakapura Road,Mahadevapura,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-11,05:24,CNR6946535,Success,CUST2103,Bike,Sarjapur,Bannerghatta Road,7.34,11.92,0,,0,,0,,458,14.35,3.2,3.6
2026-03-12,02:57,CNR6877149,Cancelled by Driver,CUST1180,Auto,Kalyan Nagar,Koramangala,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-05,23:21,CNR1790823,Success,CUST7758,eBike,Richmond Town,Brookefield,10.26,16.54,0,,0,,0,,654,16.31,4.4,3.1
2026-03-22,12:08,CNR7959326,Cancelled by Driver,CUST4782,Prime Sedan,Peenya,MG Road,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-25,19:16,CNR1111670,Success,CUST1985,eBike,Kanakapura Road,Brigade Road,14.81,10.54,0,,0,,0,,291,20.91,4.5,4.7
2026-03-17,02:56,CNR6833600,Success,CUST9663,Auto,Domlur,Indiranagar,13.72,6.95,0,,0,,0,,323,1.06,4.4,3.9
2026-03-14,01:43,CNR1940321,Cancelled by Driver,CUST1807,Prime Sedan,Peenya,Electronic City,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-22,20:26,CNR8933875,Success,CUST8045,Prime Plus,Domlur,Anekal,5.18,5.45,0,,0,,0,,370,17.89,4.5,4.7
2026-03-27,21:12,CNR6653515,Success,CUST2935,eBike,Peenya,Kanakapura Road,5.13,23.55,0,,0,,0,,897,20.88,3.1,4.4
2026-03-10,08:26,CNR3024535,Success,CUST2103,Prime SUV,Brookefield,Whitefield,4.65,7.2,0,,0,,0,,218,14.69,4.3,4.3
2026-03-24,22:05,CNR5319947,Incomplete,CUST6092,Auto,Sarjapur,Sahakar Nagar,,,0,,0,,1,Customer Demand,,,,
2026-03-03,08:18,CNR5068608,Success,CUST3881,Auto,Kalyan Nagar,CV Raman Nagar,12.1,7.98,0,,0,,0,,213,9.43,4.3,3.1
2026-03-03,15:45,CNR7341817,Success,CUST4332,Auto,Bannerghatta Road,Rajajinagar,6.49,23.37,0,,0,,0,,708,16.38,3.9,4.9
2026-03-25,19:34,CNR2267807,Cancelled by Driver,CUST7919,Bike,Basavanagudi,CV Raman Nagar,,,0,,1,Customer related issue,0,,,,,
2026-03-27,02:36,CNR8308755,Success,CUST5766,eBike,BTM Layout,Ulsoor,13.96,11.36,0,,0,,0,,307,3.8,3.5,5
2026-03-26,05:01,CNR9679686,Success,CUST2808,Prime Sedan,HSR Layout,Devanahalli,13.68,8.87,0,,0,,0,,291,24.12,4,3.3
2026-03-17,07:02,CNR9892347,Success,CUST6110,Prime SUV,RR Nagar,Peenya,12.19,13.81,0,,0,,0,,65,3.95,3.1,4.6
2026-03-16,20:13,CNR9290236,Success,CUST1081,Auto,HSR Layout,HSR Layout,10.31,21.58,0,,0,,0,,86,24.51,3.2,3.5
2026-03-07,07:28,CNR7464083,Cancelled by Driver,CUST8094,eBike,Domlur,Yelahanka,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-29,15:08,CNR6925481,Cancelled by Customer,CUST7636,Prime SUV,Vijayanagar,Shivajinagar,,,1,Wrong Address,0,,0,,,,,
2026-03-17,15:12,CNR4656328,Success,CUST9798,Bike,Shivajinagar,Mahadevapura,11.2,14.92,0,,0,,0,,130,21.67,4.5,3.7
2026-03-03,11:41,CNR4435795,Cancelled by Driver,CUST5719,Mini,Silk Board,Mahadevapura,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-02,18:22,CNR8784909,Cancelled by Driver,CUST7939,Prime Sedan,BTM Layout,Shivajinagar,,,0,,1,More than permitted people in there,0,,,,,
2026-03-05,17:59,CNR1626486,Success,CUST8057,Bike,Bannerghatta Road,Malleshwaram,5.42,5.25,0,,0,,0,,220,11.81,4.8,3.9
2026-03-25,02:51,CNR5346970,Cancelled by Customer,CUST4628,Prime SUV,Jayanagar,Marathahalli,,,1,Driver asked to cancel,0,,0,,,,,
2026-03-08,22:29,CNR2096697,Cancelled by Driver,CUST1145,Prime SUV,Koramangala,Kanakapura Road,,,0,,1,Customer related issue,0,,,,,
2026-03-26,08:23,CNR3323204,Cancelled by Customer,CUST1996,Prime SUV,Silk Board,Richmond Town,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2026-03-22,20:00,CNR7993890,Success,CUST3250,Bike,Peenya,Bellandur,3.61,18.74,0,,0,,0,,528,22.93,3.9,3.4
2026-03-07,03:29,CNR9652850,Cancelled by Customer,CUST8045,Prime SUV,Jayanagar,Ulsoor,,,1,Change of plans,0,,0,,,,,
2026-03-16,01:56,CNR9578053,Success,CUST5935,Prime Sedan,Anekal,Brookefield,13.87,6.23,0,,0,,0,,272,13.2,4.5,3.1
2026-03-23,16:38,CNR5029330,Cancelled by Customer,CUST7704,Prime Sedan,Banaswadi,Hebbal,,,1,Driver asked to cancel,0,,0,,,,,
2026-03-05,03:01,CNR8561723,Cancelled by Driver,CUST1769,Prime SUV,Shivajinagar,Sarjapur,,,0,,1,Customer related issue,0,,,,,
2026-03-05,18:18,CNR4296292,Success,CUST9740,Prime SUV,Kanakapura Road,RR Nagar,10.43,14.74,0,,0,,0,,94,18.41,3.4,3.9
2026-03-07,13:22,CNR4106572,Success,CUST5637,Prime Plus,Rajajinagar,Brigade Road,11.62,11.71,0,,0,,0,,536,23.23,3.3,3.5
2026-03-30,10:14,CNR9694421,Success,CUST5353,Mini,Kalyan Nagar,Hebbal,7.86,22.22,0,,0,,0,,71,18.21,3.9,4.2
2026-03-05,12:31,CNR3689720,Success,CUST7460,Prime Plus,Kalyan Nagar,Kadugodi,11.21,13.36,0,,0,,0,,838,22.62,3.3,4.2
2026-03-17,16:55,CNR9465525,Success,CUST8626,Prime SUV,Outer Ring Road,Yelahanka,3.69,11.6,0,,0,,0,,730,22.43,3.3,3.5
2026-03-20,08:23,CNR9715954,Cancelled by Driver,CUST3005,Auto,ITPL,Basavanagudi,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-17,11:10,CNR4223155,Cancelled by Driver,CUST7983,Prime Sedan,Bannerghatta Road,Peenya,,,0,,1,Customer related issue,0,,,,,
2026-03-18,04:46,CNR3566685,Success,CUST4606,Prime SUV,Kalyan Nagar,Ulsoor,6.84,11.4,0,,0,,0,,99,15.51,4.1,4.1
2026-03-13,15:00,CNR2810949,Success,CUST7244,Auto,Rajajinagar,Yelahanka,8.16,10.52,0,,0,,0,,354,5.32,4.3,3.9
2026-03-15,03:25,CNR3877814,Cancelled by Customer,CUST8348,Mini,Bannerghatta Road,Indiranagar,,,1,AC is not working,0,,0,,,,,
2026-03-18,04:11,CNR2188028,Cancelled by Driver,CUST6561,Prime SUV,Bannerghatta Road,Electronic City,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-12,22:23,CNR6627533,Success,CUST6593,Bike,Kanakapura Road,Anekal,6,24.59,0,,0,,0,,245,10.39,3.8,4.4
2026-03-02,01:34,CNR7178581,Success,CUST3657,Auto,Bannerghatta Road,Vijayanagar,13.04,17.89,0,,0,,0,,380,12.78,5,3.3
2026-03-22,02:12,CNR6663478,Success,CUST2008,Prime SUV,Yelahanka,Devanahalli,5.79,19.09,0,,0,,0,,229,4.02,3.3,4
2026-03-12,11:35,CNR1704872,Success,CUST6425,Mini,Kadugodi,Dasarahalli,5.07,8.62,0,,0,,0,,90,7.43,3.8,3.7
2026-03-21,11:35,CNR3166219,Success,CUST2307,Prime Plus,Frazer Town,JP Nagar,4.97,6.06,0,,0,,0,,565,9.39,4,4.1
2026-03-09,19:18,CNR6938157,Success,CUST8087,Prime Sedan,Bellandur,Mahadevapura,4.18,21.63,0,,0,,0,,441,22.03,3.7,3.3
2026-03-08,09:22,CNR6210603,Cancelled by Driver,CUST7961,eBike,Peenya,Anekal,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-16,04:39,CNR8386178,Cancelled by Customer,CUST3522,Prime Sedan,HSR Layout,BTM Layout,,,1,Driver asked to cancel,0,,0,,,,,
2026-03-05,09:58,CNR7233706,Success,CUST5596,Prime Sedan,Bannerghatta Road,Sarjapur,14.03,7.17,0,,0,,0,,527,14.49,4.5,3.1
2026-03-22,14:20,CNR3831663,Cancelled by Driver,CUST6872,Prime SUV,Horamavu,Yelahanka,,,0,,1,Customer related issue,0,,,,,
2026-03-11,07:40,CNR7811158,Success,CUST9210,Bike,Indiranagar,Anekal,8.14,17.74,0,,0,,0,,853,23.96,3.9,3.1
2026-03-29,03:49,CNR4096342,Success,CUST6081,Prime Plus,Banaswadi,Banaswadi,13.12,7.91,0,,0,,0,,206,18.27,3.9,3.8
2026-03-15,12:59,CNR6470385,Success,CUST2454,Prime Plus,MG Road,Anekal,11.45,19.76,0,,0,,0,,825,17.68,3.5,4.7
2026-03-11,04:17,CNR9275990,Success,CUST2889,Mini,Hennur,Silk Board,12.11,19.55,0,,0,,0,,950,2.13,4,3.7
2026-03-21,23:17,CNR1117632,Success,CUST5336,Bike,Sahakar Nagar,Vijayanagar,10.83,15.75,0,,0,,0,,452,5.08,4,3.7
2026-03-09,07:47,CNR9928077,Success,CUST8853,Auto,Frazer Town,Kadugodi,9.83,24.4,0,,0,,0,,344,10.58,4.2,3.3
2026-03-17,13:48,CNR9988148,Success,CUST7946,Prime Sedan,Richmond Town,Vijayanagar,2.93,21.98,0,,0,,0,,486,1.4,4.8,3.4
2026-03-17,00:25,CNR4420110,Success,CUST2784,Auto,Electronic City,Banaswadi,10.07,10.54,0,,0,,0,,316,6.91,4.5,4.8
2026-03-01,12:31,CNR8521373,Cancelled by Driver,CUST6916,Bike,JP Nagar,Banaswadi,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-30,17:37,CNR2113734,Success,CUST9814,eBike,Jayanagar,Whitefield,7.6,16.24,0,,0,,0,,173,9.87,3.8,3.5
2026-03-05,08:24,CNR4320898,Success,CUST1080,Prime Sedan,Koramangala,Electronic City,5.09,24.88,0,,0,,0,,994,19.86,3.5,3.2
2026-03-23,23:33,CNR4040420,Success,CUST6749,Prime SUV,Kanakapura Road,Richmond Town,14.61,8.11,0,,0,,0,,119,5.15,3.1,3.2
2026-03-11,12:02,CNR9287062,Incomplete,CUST3796,Prime SUV,Koramangala,Rajajinagar,,,0,,0,,1,Customer Demand,,,,
2026-03-15,12:58,CNR3151664,Success,CUST3718,Prime Sedan,Bellandur,Airport Road,14.68,18.6,0,,0,,0,,249,13.63,3.2,4.8
2026-03-03,07:44,CNR7932610,Success,CUST1661,Mini,Ulsoor,Banaswadi,6.84,5.05,0,,0,,0,,182,4.6,4.2,3.4
2026-03-21,01:39,CNR9850936,Success,CUST1861,Prime Sedan,Bommanahalli,Jayanagar,13.02,23.73,0,,0,,0,,1136,6.78,4.5,3.4
2026-03-21,00:55,CNR3897123,Cancelled by Driver,CUST8760,Prime SUV,ITPL,Sarjapur,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-18,22:16,CNR2881096,Incomplete,CUST7079,Prime Sedan,Banaswadi,Airport Road,,,0,,0,,1,Customer Demand,,,,
2026-03-13,04:26,CNR4243622,Success,CUST6170,Mini,BTM Layout,Mahadevapura,13.92,20.93,0,,0,,0,,442,15.21,3.2,3.5
2026-03-13,11:31,CNR9859658,Cancelled by Customer,CUST5159,Prime SUV,Domlur,Banashankari,,,1,Wrong Address,0,,0,,,,,
2026-03-20,03:31,CNR9978840,Cancelled by Driver,CUST4719,Auto,Silk Board,Frazer Town,,,0,,1,More than permitted people in there,0,,,,,
2026-03-20,19:21,CNR8706987,Success,CUST2404,Prime Plus,Shivajinagar,Peenya,11.33,15.98,0,,0,,0,,370,14.1,4,4.9
2026-03-02,19:56,CNR2762888,Success,CUST7534,Prime Sedan,Electronic City,JP Nagar,11.29,14.64,0,,0,,0,,832,9.23,3.2,4.5
2026-03-05,05:52,CNR5500348,Success,CUST8358,eBike,Kadugodi,Nagawara,9.4,18.09,0,,0,,0,,886,17.41,3.9,3.3
2026-03-05,13:47,CNR7234880,Success,CUST9220,Prime Plus,Basavanagudi,Vijayanagar,7.7,7.95,0,,0,,0,,338,8.18,4.7,4
2026-03-02,19:24,CNR5187188,Cancelled by Customer,CUST6748,Prime Sedan,Bannerghatta Road,HSR Layout,,,1,AC is not working,0,,0,,,,,
2026-03-02,11:23,CNR3698947,Incomplete,CUST7153,Prime Sedan,Chandapura,Banashankari,,,0,,0,,1,Customer Demand,,,,
2026-03-26,06:21,CNR5312478,Success,CUST7955,Prime SUV,Ramamurthy Nagar,Outer Ring Road,7.79,7.96,0,,0,,0,,639,6.6,4.3,4.2
2026-03-08,00:02,CNR2824340,Incomplete,CUST4541,Prime SUV,Marathahalli,Chandapura,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-17,22:31,CNR7914627,Success,CUST9368,Auto,Hennur,Malleshwaram,9.82,19.67,0,,0,,0,,491,5.86,4.1,4.8
2026-03-24,18:51,CNR4670478,Incomplete,CUST5459,eBike,Sarjapur,Domlur,,,0,,0,,1,Other Issue,,,,
2026-03-02,08:32,CNR5496695,Cancelled by Driver,CUST6725,Bike,Richmond Town,Indiranagar,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-06,15:23,CNR2743649,Success,CUST7641,Bike,Bannerghatta Road,Dasarahalli,13.18,18.25,0,,0,,0,,404,22.54,4.5,3.6
2026-03-19,14:59,CNR8797905,Incomplete,CUST8367,eBike,Brigade Road,Frazer Town,,,0,,0,,1,Customer Demand,,,,
2026-03-22,13:35,CNR8623423,Success,CUST3975,Prime SUV,Indiranagar,Rajajinagar,8.65,24.15,0,,0,,0,,196,1.24,3.3,3.1
2026-03-08,19:43,CNR7824158,Success,CUST5825,Mini,Horamavu,Sahakar Nagar,5.48,17.1,0,,0,,0,,274,13.87,4,3.4
2026-03-24,20:55,CNR2552510,Success,CUST7843,Prime Sedan,Jayanagar,Horamavu,3.33,18.06,0,,0,,0,,352,4.28,4.4,3.1
2026-03-09,04:37,CNR3230411,Incomplete,CUST7751,Prime Sedan,Outer Ring Road,BTM Layout,,,0,,0,,1,Customer Demand,,,,
2026-03-29,18:06,CNR3842964,Incomplete,CUST7419,Bike,Vijayanagar,CV Raman Nagar,,,0,,0,,1,Customer Demand,,,,
2026-03-07,06:14,CNR4715198,Cancelled by Driver,CUST1479,Mini,Banaswadi,Brigade Road,,,0,,1,More than permitted people in there,0,,,,,
2026-03-28,22:37,CNR5246928,Success,CUST3145,Auto,Basavanagudi,Marathahalli,4.83,11.6,0,,0,,0,,496,22.48,4.1,4
2026-03-03,16:21,CNR8889483,Cancelled by Driver,CUST3420,Prime Sedan,RR Nagar,MG Road,,,0,,1,More than permitted people in there,0,,,,,
2026-03-19,12:22,CNR2586181,Incomplete,CUST8114,Bike,Electronic City,Dasarahalli,,,0,,0,,1,Other Issue,,,,
2026-03-07,16:40,CNR7393607,Success,CUST5036,Prime Plus,Frazer Town,Whitefield,11.96,23.14,0,,0,,0,,259,4.43,3.5,3.9
2026-03-15,02:01,CNR4323142,Success,CUST4006,eBike,Whitefield,Rajajinagar,2.14,5.75,0,,0,,0,,223,10.47,4.4,3.1
2026-03-28,18:51,CNR4933731,Success,CUST8255,Prime Sedan,Frazer Town,Frazer Town,3.91,13.23,0,,0,,0,,640,4.93,4.5,3.7
2026-03-02,14:05,CNR9013596,Cancelled by Driver,CUST7190,Prime Sedan,Yelahanka,Bellandur,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-28,11:41,CNR1890730,Cancelled by Driver,CUST4078,Prime Sedan,Yelahanka,Indiranagar,,,0,,1,More than permitted people in there,0,,,,,
2026-03-01,08:23,CNR8713602,Success,CUST4214,Prime Sedan,Banashankari,Kalyan Nagar,14.35,14.75,0,,0,,0,,1168,12.94,3.5,3.2
2026-03-21,08:12,CNR1558493,Incomplete,CUST4127,eBike,Vijayanagar,Kanakapura Road,,,0,,0,,1,Customer Demand,,,,
2026-03-30,08:52,CNR3963776,Success,CUST8220,Prime Sedan,Airport Road,Hennur,7.42,13.28,0,,0,,0,,819,2.4,3.5,4.3
2026-03-23,19:01,CNR4951805,Success,CUST9471,Prime Sedan,Marathahalli,Indiranagar,11.11,10.43,0,,0,,0,,642,7.03,4,4.9
2026-03-02,03:28,CNR5576311,Success,CUST7832,Bike,Kadugodi,HSR Layout,9.44,13.07,0,,0,,0,,355,13.37,3.2,3.7
2026-03-13,00:12,CNR1223211,Success,CUST4322,Prime SUV,BTM Layout,CV Raman Nagar,11.84,13.16,0,,0,,0,,181,20.51,3.3,4.7
2026-03-16,15:02,CNR2387169,Cancelled by Driver,CUST2163,Prime SUV,JP Nagar,Vijayanagar,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-06,11:12,CNR6074665,Success,CUST1810,Mini,Bannerghatta Road,ITPL,2.74,21.81,0,,0,,0,,496,14.63,5,3.5
2026-03-01,22:48,CNR6977235,Success,CUST8264,Mini,Whitefield,Dasarahalli,12.24,19.31,0,,0,,0,,88,11.19,4.2,4.4
2026-03-29,04:04,CNR1987566,Success,CUST9683,eBike,MG Road,Malleshwaram,6.87,23.42,0,,0,,0,,435,10.41,3.5,3.2
2026-03-26,09:08,CNR7899155,Success,CUST5744,Prime Plus,Devanahalli,Airport Road,14.06,24.35,0,,0,,0,,271,24.78,3.2,3.2
2026-03-19,10:17,CNR7057865,Success,CUST3315,Prime SUV,MG Road,Mahadevapura,6.83,9.33,0,,0,,0,,526,16.43,5,3.7
2026-03-19,23:42,CNR4953574,Success,CUST2132,Mini,Domlur,KR Puram,4.57,9.03,0,,0,,0,,220,19.62,3.4,4.8
2026-03-02,17:21,CNR8318368,Success,CUST1038,Prime SUV,Vijayanagar,BTM Layout,3.44,7.48,0,,0,,0,,324,8.55,3.5,3.8
2026-03-26,04:42,CNR6397984,Cancelled by Driver,CUST2296,Prime SUV,Basavanagudi,Malleshwaram,,,0,,1,More than permitted people in there,0,,,,,
2026-03-20,03:13,CNR2693775,Success,CUST7210,Prime Sedan,Whitefield,Brigade Road,5.7,11.62,0,,0,,0,,500,24.04,4.7,3.1
2026-03-17,18:45,CNR6296008,Cancelled by Customer,CUST1235,Prime SUV,Outer Ring Road,ITPL,,,1,Wrong Address,0,,0,,,,,
2026-03-06,20:07,CNR7043177,Success,CUST1141,eBike,Electronic City,Brigade Road,13.12,12.63,0,,0,,0,,138,12.56,3.4,3.9
2026-03-18,06:46,CNR1969783,Success,CUST1515,Prime Plus,Jayanagar,Shivajinagar,9.46,23.38,0,,0,,0,,69,1.23,4.8,4.3
2026-03-09,04:22,CNR8280749,Success,CUST7199,Auto,Kadugodi,Rajajinagar,12.09,22.94,0,,0,,0,,830,23.37,4.5,4
2026-03-01,07:16,CNR9210927,Success,CUST6050,Prime SUV,BTM Layout,Banashankari,3.24,22.92,0,,0,,0,,356,4.81,3.9,3.3
2026-03-10,19:55,CNR3203313,Incomplete,CUST7959,Prime Plus,Electronic City,BTM Layout,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-21,17:14,CNR5146188,Success,CUST7169,eBike,Hebbal,JP Nagar,6.15,14.8,0,,0,,0,,424,18.28,4.7,3.3
2026-03-19,12:01,CNR4191442,Incomplete,CUST4342,Prime SUV,Indiranagar,Whitefield,,,0,,0,,1,Other Issue,,,,
2026-03-19,12:38,CNR3953059,Success,CUST7455,Prime SUV,Ramamurthy Nagar,Kadugodi,8.39,6.12,0,,0,,0,,449,15.69,3.1,4.9
2026-03-28,14:35,CNR8506803,Success,CUST6133,Prime Sedan,Kanakapura Road,Kadugodi,3.69,21.86,0,,0,,0,,249,4.77,3.2,4.3
2026-03-03,23:31,CNR2731657,Success,CUST2549,Auto,Hennur,Nagawara,11.13,13.24,0,,0,,0,,341,18.46,4.1,4.8
2026-03-20,16:16,CNR4544081,Success,CUST8409,Prime Sedan,RR Nagar,Kanakapura Road,7.67,11.28,0,,0,,0,,95,1.53,3.8,3.9
2026-03-17,21:46,CNR8798766,Success,CUST9851,Mini,Brookefield,Dasarahalli,12.41,15.28,0,,0,,0,,105,10.79,5,3.8
2026-03-16,17:12,CNR3679120,Success,CUST3358,Prime SUV,Sarjapur,Koramangala,2.54,8.42,0,,0,,0,,128,18.68,3.6,4.7
2026-03-22,17:50,CNR3636383,Success,CUST6518,Prime Sedan,Banashankari,Brookefield,14.65,16.94,0,,0,,0,,318,7.34,3.8,3.2
2026-03-25,10:48,CNR5086358,Incomplete,CUST1116,Bike,Domlur,Outer Ring Road,,,0,,0,,1,Customer Demand,,,,
2026-03-15,12:44,CNR2177328,Success,CUST6797,Prime Sedan,Brookefield,Rajajinagar,3.79,15.69,0,,0,,0,,288,2.02,4.5,4.6
2026-03-24,11:45,CNR9182284,Success,CUST2003,eBike,Kadugodi,JP Nagar,12.87,5.36,0,,0,,0,,957,13.07,3.5,3.9
2026-03-25,05:34,CNR7302550,Incomplete,CUST5896,Prime SUV,Marathahalli,Sarjapur,,,0,,0,,1,Other Issue,,,,
2026-03-03,16:53,CNR3473659,Success,CUST3525,Prime SUV,Hebbal,ITPL,10.43,24.39,0,,0,,0,,282,15.51,3.4,4.5
2026-03-20,04:03,CNR1926066,Success,CUST3746,Mini,Hebbal,CV Raman Nagar,6.06,14.66,0,,0,,0,,940,21.89,4.7,4.2
2026-03-06,00:26,CNR4582355,Success,CUST6630,Prime SUV,Yelahanka,Banashankari,9.97,12.5,0,,0,,0,,1872,10.04,4.3,3.4
2026-03-15,23:52,CNR2827246,Incomplete,CUST4273,Prime Plus,Brookefield,Vijayanagar,,,0,,0,,1,Customer Demand,,,,
2026-03-07,18:53,CNR5461669,Success,CUST6789,Auto,Basavanagudi,Bommanahalli,9.2,6.15,0,,0,,0,,384,7.88,3.5,4.9
2026-03-08,10:53,CNR3419881,Success,CUST6976,Prime Plus,Bommanahalli,Frazer Town,6.53,15.68,0,,0,,0,,734,4.63,3.7,5
2026-03-25,04:45,CNR6867690,Success,CUST6456,eBike,Kanakapura Road,RR Nagar,5.85,14.23,0,,0,,0,,430,24.08,4.4,4.5
2026-03-11,13:50,CNR5491136,Cancelled by Customer,CUST7458,Auto,Jayanagar,Devanahalli,,,1,AC is not working,0,,0,,,,,
2026-03-26,20:26,CNR8838951,Cancelled by Driver,CUST5652,Prime Sedan,Kalyan Nagar,Yelahanka,,,0,,1,Customer related issue,0,,,,,
2026-03-18,17:18,CNR3555323,Success,CUST3112,Prime SUV,Basavanagudi,Yelahanka,7.67,12.38,0,,0,,0,,1887,16.57,3.6,3.3
2026-03-03,11:43,CNR6130540,Cancelled by Customer,CUST2667,eBike,Kadugodi,BTM Layout,,,1,Wrong Address,0,,0,,,,,
2026-03-07,23:42,CNR9192048,Success,CUST5425,eBike,Bellandur,Ulsoor,8.35,10.17,0,,0,,0,,529,17.5,4.7,4.5
2026-03-14,22:15,CNR5795072,Cancelled by Customer,CUST7856,Prime Sedan,JP Nagar,Nagawara,,,1,AC is not working,0,,0,,,,,
2026-03-06,10:53,CNR9561525,Success,CUST6218,Prime SUV,Nagawara,Kanakapura Road,7.5,7.47,0,,0,,0,,473,13.53,4.1,3.5
2026-03-14,05:09,CNR9566816,Success,CUST8925,Auto,Hebbal,Sarjapur,8.58,9.92,0,,0,,0,,913,8.8,4.5,4.8
2026-03-03,23:35,CNR4848418,Success,CUST6768,Mini,Sahakar Nagar,Indiranagar,5.31,24.88,0,,0,,0,,978,22.86,3.4,3.3
2026-03-19,09:54,CNR8780771,Incomplete,CUST7500,Prime SUV,Silk Board,Sahakar Nagar,,,0,,0,,1,Other Issue,,,,
2026-03-14,05:20,CNR3955922,Success,CUST5568,Prime SUV,Koramangala,Rajajinagar,3.26,13.11,0,,0,,0,,1711,19.08,4.2,3.1
2026-03-28,11:18,CNR1199621,Cancelled by Customer,CUST8560,Auto,Mahadevapura,Banaswadi,,,1,Change of plans,0,,0,,,,,
2026-03-04,16:37,CNR6764393,Cancelled by Driver,CUST1675,Bike,Indiranagar,Devanahalli,,,0,,1,Customer related issue,0,,,,,
2026-03-03,04:10,CNR3856973,Success,CUST7371,Mini,HSR Layout,Indiranagar,13.88,18.33,0,,0,,0,,1109,23.63,3.3,4.1
2026-03-28,20:33,CNR7926147,Success,CUST2071,Prime Sedan,Domlur,Banashankari,13.76,7.32,0,,0,,0,,963,14.02,3.8,3.7
2026-03-13,05:57,CNR5601644,Success,CUST9039,eBike,Yelahanka,Whitefield,3.72,15.12,0,,0,,0,,245,15.13,4.8,4.1
2026-03-25,02:44,CNR6310007,Success,CUST9154,Bike,Vijayanagar,Bellandur,3.94,15.16,0,,0,,0,,500,14.38,3.5,4.2
